PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,Group
1.442831248,-0.686765055,0.468784592,-0.290551251,0.314817607,-1.315193533,0.243437712,-0.115161824,0.218162505,-0.115117727,0.004798034,-0.065197805,0.06477629,-0.075428762,0.093717334,-0.055946934,0.299654578,-0.181091183,0.29236496,-0.030197291,-0.18278042,0.560473615,0.093999821,-0.198580884,0.036722411,-0.130087757,0.100634232,-0.181163211,0.029080462,-0.043024973,0.069896565,-0.059915294,0.082477321,-0.025380391,0.016428807,-0.006482576,0.055902462,0.00550659,0.129927175,-0.050598897,0.042631086,0.021013755,0.024494213,-0.035311398,0.039885262,-0.027307885,0.06818496,-0.03979476,0.041924499,-0.036422802,0.007020901,-0.008448734,0.107173155,-0.03600758,0.04319889,-0.017362108,0.017932091,-0.005937628,0.049219626,-0.012611125,0.007252795,-0.098958179,0.042783749,-0.046295818,0.020332436,-0.024276718,-0.018779826,0.011805916,-0.110277839,0.10622855,-0.037269847,-0.001770464,-0.036899222,0.061108524,-0.00327726,-0.059255998,0.008496863,-0.048917628,-0.014867402,0.024071803,0.03421795,-0.035405827,-0.002896624,0.033997323,0.015744605,0.061308177,-0.111309687,0.055080299,-0.036249143,-0.054606414,0.008243907,0.045519717,0.02286101,-0.036101,-0.04505323,0.044636714,0.032376064,0.000208576,0.023351769,0.052611857,3
1.08935353,-0.46403378,0.540536684,-0.543541391,-0.72283731,0.890804506,-2.843562007,0.941034368,0.516423924,-0.710239494,0.207851765,-1.406119332,0.133150805,-0.250209145,0.24676638,-0.213576803,0.513911912,0.195224104,-0.057470017,0.010987273,0.518301925,-0.052061309,0.030783208,0.305964205,-0.033474318,0.368182213,-0.353200836,0.493525001,-0.071582709,-0.379380256,0.472766151,-0.35999314,-0.290084576,-0.221763869,-0.119042347,-0.023412594,0.241514256,-0.090242165,-0.06747166,-0.385817489,-0.038160512,-0.067734025,0.074680267,0.32393989,-0.030316106,-0.065220471,0.28854192,-0.042096146,0.122718797,0.097822332,0.281620233,0.244166945,-0.009027414,-0.027932122,-0.094059426,-0.100430955,-0.115097098,-0.111198747,0.006892069,0.230102768,0.150660101,0.076226985,-0.226684426,0.069964061,0.106985314,0.137854235,0.004693705,0.123124419,0.069621742,-0.384620204,0.122468798,0.160197698,0.061073203,0.015866603,0.058609781,-0.052471156,0.010610702,-0.121286631,-0.193994365,-0.382937141,0.123828707,-0.037353645,-0.097685525,-0.224839292,-0.223302364,0.166059311,-0.000173198,0.323937249,0.35359059,0.178872596,-0.034076174,-0.148357797,-0.243735191,0.253410442,-0.261774385,0.239172445,0.169109149,0.230727023,0.111801019,-0.131424984,3
1.560936746,-0.531388902,0.406607296,-0.428215396,0.380626563,-1.441981621,0.168146187,-0.125348608,0.272046407,0.164182127,0.001634803,0.001341833,-0.124281117,0.128899212,-0.057196597,-0.089331121,0.21396451,0.066457733,-0.054073251,-0.084899176,0.001275934,-0.229520489,-0.114800083,-0.041555759,0.015036103,0.021378458,0.027994971,-0.026377764,0.035233489,-0.003874777,-0.07553174,0.059342524,-0.142140216,0.078340339,0.087213934,0.067645284,0.02940255,-0.138445718,-0.170981983,0.076255209,-0.0911439,0.005927725,0.018867269,0.057329111,-0.098171612,-0.058240206,-0.012765862,0.049792071,-0.057514531,0.056890612,0.017381049,-0.037138074,0.030594517,0.036365405,-0.100131059,-0.063373521,-0.077841204,0.034982076,0.054370689,0.005235167,0.032850607,0.055092489,-0.084203112,0.063853646,-0.024991735,0.016014605,-0.061649526,-0.06263355,-0.00594368,-0.087651649,0.091606518,-0.001919184,0.117098546,0.024120999,-0.025313726,-0.02372419,-0.044498898,0.01759309,-0.021485825,0.058678884,-0.036893044,-0.028907978,-0.072043255,0.0125561,-0.026863933,-0.033567317,-0.018062105,-0.027844014,0.013151522,-0.016950629,-0.025324873,-0.000790899,0.014757343,-0.032656529,-0.005530266,-0.010249722,-0.078039121,-0.041651142,0.004364777,-0.001871231,3
0.472740606,-0.214044412,-0.076351891,0.473530209,-0.276656894,0.097555514,0.092443482,0.242414897,-0.276758015,-0.184609911,0.173866917,0.418841851,0.037792309,0.109105304,-0.154137721,0.017462781,-0.607810858,0.940586376,-0.149829308,-0.053497019,0.394477275,0.291357736,-0.067241834,0.172712219,-0.229758387,0.181395047,-0.801548503,0.165362817,-1.048866088,-0.214475277,-0.121254585,-0.266050552,0.955121165,-1.231263103,-0.38355064,0.553897426,0.652747902,-0.727889289,-0.803699204,-0.211297001,-0.366885355,-0.320870733,0.044915217,-0.578230382,0.560883188,-0.430205361,0.052791949,0.608943555,0.235170644,0.082858337,0.321954476,-0.119847575,0.067566473,-0.277621022,0.115963416,0.257147442,-0.025375431,0.400063729,0.146666354,0.138159909,-0.056365695,-0.183883104,0.420910122,0.125617673,-0.218296394,-0.319334013,-0.529687171,0.069759349,0.46410308,0.500919524,0.149701325,0.2621141,0.00603249,0.092284902,0.042706645,0.277990686,-0.007458924,0.248104642,-0.067662087,0.139116426,0.089245723,0.055345158,-0.084281442,0.121363521,-0.219744304,0.103368264,-0.076782434,-0.375226662,-0.097702003,-0.354234901,-0.068751912,0.001585406,0.086946541,-0.18051447,0.126259743,0.134495463,0.002910184,-0.125813791,-0.05530087,0.01442561,3
0.962488404,-0.039957009,0.272991499,-0.772691583,-0.134409112,0.732053148,-1.690528022,0.341640905,0.558391035,1.092714256,-0.344876348,2.103212234,-0.580041243,0.901006362,-0.15319111,-0.056071679,0.047070008,-0.167843086,-0.041297609,0.236291436,0.046831277,-0.183444748,0.164660708,0.077994658,0.202391173,-0.224852571,0.197960295,-0.048338222,0.00644718,0.106659406,-0.160493022,-0.058203118,-0.031659237,-0.021181794,-0.073579294,-0.045435234,0.011384558,-0.040202509,-0.184046681,0.106570632,0.046144844,0.037513356,-0.060916805,0.049197112,0.050629642,-0.263855593,0.018460993,-0.011277901,0.090763121,-0.148256927,0.011801568,0.036269106,0.074913586,-0.012986433,-0.036781562,-0.067945933,-0.143543675,0.07375882,-0.023833675,0.070269351,-0.06760412,-0.070523401,-0.037207574,-0.036058705,0.103190494,-0.005856667,0.058655141,-0.064145481,-0.055607306,-0.04238304,0.012445438,-0.043939388,0.086434519,-0.095604076,-0.083861829,-0.007751237,-0.082283089,-0.038119743,-0.040713015,-0.055372748,-0.089050345,-0.041196174,-0.142591828,-0.045645034,0.063957662,-0.079066633,0.068929082,0.090499447,-0.075718222,0.083258919,-0.040368368,-0.209576787,-0.015155752,0.041525212,0.00058364,0.056323982,0.027536048,-0.029483102,-0.036062446,0.025103571,3
1.549501619,-0.593396267,0.368229324,-0.366408813,0.361040924,-1.289755113,0.273491829,-0.057009095,0.203714031,-0.174832853,0.020657165,-0.066993952,-0.022269528,0.059964027,0.019019785,-0.003850998,0.20504516,-0.046489975,-0.128198719,0.086779887,0.03179605,-0.071274406,0.035570152,0.053700995,-0.012564393,0.010471017,-0.068062446,-0.084935637,-0.030234675,0.061407815,0.00919043,0.019154826,-0.013001254,-0.040201851,-0.03243944,0.011351788,-0.051535179,0.046337915,0.10614922,-0.028896396,0.016842618,0.019239973,0.06275176,-0.03707777,0.02356276,-0.008525692,0.037429254,-0.020257455,0.072470596,-0.059598447,0.000970122,-0.007050962,0.060458492,0.020908801,0.072220572,0.019171271,-0.045986253,-0.06094245,0.023190677,-0.02178818,0.009999364,-0.132464877,0.042480052,-0.034583838,-0.078338083,0.026488577,0.014529105,0.075782252,-0.005610636,-0.011900674,-0.016792353,-0.022473448,-0.014754368,-0.011914197,-0.003500707,-0.051409534,0.031439944,-0.017539366,0.039076751,-0.010512313,0.013843499,-0.007853301,0.054176211,0.097431044,0.015299121,0.054544399,-0.075820074,0.023865421,0.012690271,-0.02341874,-0.02507887,0.024931087,0.021726191,0.009939591,0.009789866,0.053553702,0.047955767,-0.007450779,-0.004901402,0.020725315,3
0.940366856,-0.065445713,0.441097298,-0.595311572,-0.257467117,0.496514257,-1.835413974,0.343656797,0.476737953,1.178674325,-0.665553738,1.959182487,-0.583451092,0.942115091,-0.114521192,-0.036782103,-0.156879369,-0.085384079,-0.067995397,0.056673058,-0.178223281,-0.086240688,0.161842215,0.183060264,0.046884948,-0.060889028,-0.091012297,0.032295521,0.064152551,0.073806172,-0.162371215,0.115019739,-0.123357085,0.052428682,0.023466949,-0.035035724,-0.056027489,-0.045888519,-0.163189132,0.054820086,0.067522066,0.05294803,0.060496046,0.080064605,0.143659308,-0.010945508,-0.045077831,-0.208866904,-0.014560769,-0.13313918,0.161294049,0.069431277,0.017837032,-0.051532359,-0.008115113,0.094137698,-0.171181553,0.01748229,0.064938847,0.122237541,-0.004809662,-0.156209235,-0.143654153,0.045119787,0.148984089,-0.020218113,0.049140236,-0.040178436,0.086789891,0.176498812,-0.072217412,0.01246736,-0.029585376,0.06204747,-0.082682991,-0.026546699,0.190408805,0.138961993,0.033904661,0.043186343,-0.13965367,0.030361292,-0.053535446,0.11734301,0.108496214,-0.055188576,0.092711564,0.109955648,-0.097137571,0.08411686,-0.11714579,-0.201032047,-0.092107865,-0.112644379,-0.00468852,0.1534238,-0.234611562,0.077644634,-0.145890491,-0.075754598,3
1.393439985,-0.598539577,0.221834411,-0.363700859,-0.153557596,1.482354506,1.121243169,-0.656237576,0.702804467,0.199118734,-0.217121869,-0.681140794,-0.363809003,0.608427492,-0.082974376,-0.102228413,-0.091548734,0.07330456,-0.255620629,-0.39644036,-0.452407174,0.131573568,-0.147951263,0.322363952,-0.186561333,0.22027365,-0.804829484,-0.244479405,0.266938773,-0.19825828,0.600527886,0.987071099,0.841654224,0.394810028,0.215053418,-0.170477026,-0.062693535,0.31490998,-0.11879684,-0.131570399,0.004814013,-0.099298152,-0.037902328,0.199663785,-0.157351551,-0.151717318,-0.038159475,0.067467495,0.12835264,-0.030639878,-0.052058176,-0.034569708,-0.03450219,0.009128855,0.00606465,-0.020852824,-0.008199061,0.087416085,-0.051460629,0.150642538,0.033132118,0.038946178,0.067565263,0.038419757,0.038155803,0.059450845,0.019367694,-0.159110656,-0.06170614,-0.020993841,0.104453486,-0.073264186,-0.036726622,0.029717514,-0.191371356,0.124535052,-0.04223014,0.089862689,-0.140846382,-0.160999585,-0.013891418,-0.259658579,0.075692985,-0.000443721,0.44537256,0.022060099,0.105565565,0.126154117,-0.094040863,0.102004231,-0.101227469,-0.159100809,-0.180545757,-0.383814151,0.146154484,-0.044626303,0.143310937,-0.003114074,0.079413922,-0.097238267,2
0.675530095,-0.209022006,0.458242518,-0.507701333,-0.40211437,0.672356044,-1.42239024,0.50593396,0.41406712,0.629993767,-0.181665041,1.60299415,-0.362727612,0.966175535,0.006263986,0.000133501,-0.030011758,-0.319814165,0.257875033,0.304242637,-0.111198339,0.799881039,0.40712533,-0.132203038,-0.01852677,-0.312023991,0.220314508,-0.059336879,-0.137551041,-0.016844478,-0.034122068,-0.341828514,0.455261576,-0.374441497,-0.06155391,-0.294757156,0.086999942,0.041185264,0.42368613,-0.34399349,0.135498218,-0.133340833,-0.063614342,-0.102307955,0.170956592,-0.315671851,0.113028364,0.082967125,0.061737588,-0.044507638,-0.118640521,-0.091101972,0.201467542,0.111845105,-0.089102933,-0.225119801,0.072911753,0.012642581,0.075681786,-0.147551929,-0.312114076,0.022916081,0.388452538,-0.076535228,-0.289903186,0.332710883,-0.027367835,-0.19021027,0.023958606,0.11068815,-0.06946223,0.152135183,-0.054119499,-0.298721831,-0.056676841,-0.097226458,0.185093286,-0.320856373,0.206715037,0.005177739,-0.447421175,-0.289543801,-0.213021517,-0.07158694,0.211791602,-0.134304559,0.126133453,0.098638454,-0.197533199,-0.089129031,-0.00606453,-0.01499217,0.139685572,0.049071579,-0.009221147,-0.068860391,0.230819569,0.253551742,0.081640256,0.365165618,3
0.449455305,-0.199273124,-0.101736612,0.466837593,-0.281637347,0.055769329,0.087437368,0.23589159,-0.021089142,-0.212738242,0.162809818,0.424704178,0.051341182,0.091557559,-0.142316958,0.033070921,-0.656442114,0.918683493,-0.145474786,-0.046571307,0.376303266,0.280408728,-0.014035814,0.142002593,-0.242034478,0.209048076,-0.7680909,0.193857524,-0.948292828,-0.215436669,-0.122121746,-0.230928076,0.885361704,-1.144017108,-0.361909736,0.521719411,0.623245162,-0.67768786,-0.725730764,-0.20842896,-0.29467188,-0.27987153,0.077674862,-0.522741316,0.458748855,-0.389726292,0.089416288,0.547093509,0.187769976,0.065719016,0.330330035,-0.126736731,0.081188012,-0.250405612,0.087538163,0.232094298,-0.001434396,0.38368749,0.075533663,0.097655936,-0.09123352,-0.199956977,0.403549859,0.14377299,-0.140846125,-0.343459473,-0.465043522,0.045420131,0.427941561,0.414095813,0.136222759,0.216156999,0.027831111,0.055929697,0.034635854,0.227383213,0.003856838,0.170463836,-0.05800889,0.166538449,0.068582069,0.044350054,-0.01835514,0.088744955,-0.168310679,0.123935003,-0.061437433,-0.292923357,-0.098867713,-0.266724217,-0.085407367,0.022126633,0.08443647,-0.161230976,0.08483139,0.104604185,0.014406258,-0.09277665,-0.064152099,0.020144719,3
1.274554599,-0.570823731,0.35437304,-0.172711808,-0.1126551,1.050029011,0.668348798,-0.375615509,0.142518316,0.141043037,-0.210085592,0.060767076,0.16199496,-0.581214063,0.032484812,-0.22401537,0.036856233,0.719843014,0.308855086,-0.706735488,1.270518216,0.614018545,0.443046575,1.056721596,-1.508197716,1.031605975,-0.017355231,0.074897775,0.415896103,0.234690826,-1.011572649,-0.300767775,-0.313785119,0.279086301,0.346477707,-0.027546758,-0.24948516,0.128295545,0.021516119,0.074192295,0.167756163,-0.024940578,-0.07119468,-0.151802644,-0.077607535,-0.043275831,0.058807302,0.055599662,-0.044850423,-0.007163273,-0.151084974,-0.184458124,-0.082318202,0.0796987,0.000497238,0.021308093,0.098860681,-0.075598227,-0.011853948,-0.052792161,0.08347524,-0.20042396,0.060995731,0.0180214,0.029615319,-0.006071677,-0.077351077,-0.045141537,-0.13445657,0.013707806,-0.012460426,-0.105224109,0.171908759,0.003079596,0.004134981,0.00681314,-0.119126337,-0.017597178,-0.025373577,0.011208937,0.034307535,0.02784535,-0.030780078,0.064761263,0.063663064,0.025889299,-0.065940383,0.112852089,0.039109999,0.020116838,-0.058152525,-0.079042124,-0.03634988,0.105575216,0.013037239,-0.010707304,0.112335891,0.010516454,-0.079793893,0.077709216,2
